page_id,page_name,disclaimer,amount_spent_pen,number_of_ads
501281283413954,Andrés Alcántara Paredes,Ronaldo Jeanpierr Oyola Gomez,4151,70
1850708491662790,Jose Ignacio Beteta,Jose Ignacio Beteta,4137,50
109019574560600,Aula Gaceta,Gaceta Jurídica S.A.,4111,4
1643625532431014,KAROL Paredes,Pamela Isuiza Lopez,4100,67
104118211629500,Varinia Moreno Córdova,Varinia Marlene Moreno Cordova,4044,49
1600213560208605,Municipalidad Provincial de Huánuco,Luis Mijail Ursula Carrillo,4038,80
106846268009745,Margarita Rodriguez,Margarita Elena Rodriguez Alfaro,4033,16
1413556535603177,Raúl Díaz Pérez,Italo José Quispe Lévano,4000,2
110030884769294,"Maestro mayor Catemaco ""El Jaguar Negro""",These ads ran without a disclaimer,4000,4
102507351695892,Ing. Angel López Panduro,Angel Augusto Lopez Panduro,3983,54
107865304679322,Los Amigos de Yonhy Lescano,Julissa Fanny Begazo Guevara,3982,32
102585367941782,Rafael López Aliaga,Renzo Cossio,3943,6
103568711737392,Carlos Chumpitaz,Carlos Eduardo Chumpitaz Camacho,3943,41
102398671887651,Martin Teixeira,Martin Amado Rivas Teixeira,3934,53
101533301762915,Teresa Solano - Junín,Teresita de Jesús Solano Corzo,3930,62
216284595086378,Dakar Tattoo,Orlando Thyr Cabrejos Espinal,3913,38
109669331422877,Carlos Gonzales,Nelida Susy Montenegro Mess,3908,61
243790482299542,Grupo AUGE Capacitación Docente,Ronald Avellaneda Montenegro,3881,1
2115747855314930,Guillermo Aliaga,Guillermo Aliaga,3877,72
102098544497318,Alfredo Perez Alcalde 2023,These ads ran without a disclaimer,3871,33
1613265342081943,Julio Martinez Garcia,Julio Eden Martínez Garcia,3859,59
544732736023645,Consejo Privado Anticorrupción - CPA,Consejo Privado Anticorrupción - CPA Perú,3824,137
116376803134045,Rosangella Barbarán,Rosangella Andrea Barbaran Reyes,3814,19
47446118027,Ollanta Humala Tasso,Blanca Rosales Valencia,3805,10
996199500463446,Rosa Bautista Al Congreso,Mery Nataly Gonzales Enriquez,3780,6
137727683515281,Cristofer Barrionuevo,Cristofer Ronal Barrionuevo Romero,3767,74
719853864726295,Mindvalley,These ads ran without a disclaimer,3743,64
111946828036314,Lucio Deza,Silvia Cecilia Zambrano Esquivel,3721,22
101446731993982,Luis Ángel al Congreso 2021,Diego Hugo Lombardero Lamas,3714,22
123983311020012,Lalo Albarracin,Eduardo Danilo Albarracin Ugarte,3696,45
114696193780931,Manolo Garcia Correa,Jordan Robledo Rojas,3693,24
2214007778856477,Judith Laura - Oficial,judith Laura,3678,45
101221585304943,Manuel Ato,Manuel Antonio Ato Del Avellanal Carrera,3668,3
105099615091317,Perú La Única Opción,These ads ran without a disclaimer,3652,47
105819178511926,Tú eres Gaia,These ads ran without a disclaimer,3638,12
100292211941140,Andres Sotil 19,Vicente Cuaresma Escudero,3627,9
113857973395461,Luis Angel Aragón - Congresista de la República,Diego Alonzo Alvarez Guevara,3580,79
103775971899564,Asociación Emprendedores Jóvenes del Perú,These ads ran without a disclaimer,3575,11
248491675809603,Zenaida Solís,Erick Vega Agreda,3567,29
101546698904987,Carlos Paipay Quispe,Kassandra Nahomi Rivera Naquiche,3528,14
352924605796286,Héctor Espinoza,Nicolas Puma,3517,28
105073931468070,Jorge Del Castillo Pretell,Jonathan Salazar Aguilar,3509,13
1321713074657834,Jorge Nieto Montesinos,Jorge Nieto Montesinos,3498,21
163612560674668,Mario Quispe,Wilver Quispe Ramos,3493,45
104856948415807,Alerta Perú,These ads ran without a disclaimer,3490,9
